state,county,county_fips
AK,anchorage,2020
AK,kenai peninsula,2122
AK,matanuska-susitna,2170
AL,baldwin,1003
AL,jefferson,1073
AL,madison,1089
AL,marshall,1095
AL,mobile,1097
AL,montgomery,1101
AL,shelby,1117
AL,st clair,1115
AR,benton,5007
AR,faulkner,5045
AR,garland,5051
AR,lonoke,5085
AR,pulaski,5119
AR,saline,5125
AZ,apache,4001
AZ,cochise,4003
AZ,coconino,4005
AZ,gila,4007
AZ,graham,4009
AZ,greenlee,4011
AZ,la paz,4012
AZ,maricopa,4013
AZ,mohave,4015
AZ,navajo,4017
AZ,pima,4019
AZ,pinal,4021
AZ,santa cruz,4023
AZ,yavapai,4025
AZ,yuma,4027
CA,alameda,6001
CA,alpine,6003
CA,amador,6005
CA,butte,6007
CA,calaveras,6009
CA,colusa,6011
CA,contra costa,6013
CA,del norte,6015
CA,el dorado,6017
CA,fresno,6019
CA,glenn,6021
CA,humboldt,6023
CA,imperial,6025
CA,inyo,6027
CA,kern,6029
CA,kings,6031
CA,lake,6033
CA,lassen,6035
CA,los angeles,6037
CA,madera,6039
CA,marin,6041
CA,mariposa,6043
CA,mendocino,6045
CA,merced,6047
CA,modoc,6049
CA,mono,6051
CA,monterey,6053
CA,napa,6055
CA,nevada,6057
CA,orange,6059
CA,placer,6061
CA,plumas,6063
CA,riverside,6065
CA,sacramento,6067
CA,san benito,6069
CA,san bernardino,6071
CA,san diego,6073
CA,san francisco,6075
CA,san joaquin,6077
CA,san luis obispo,6079
CA,san mateo,6081
CA,santa barbara,6083
CA,santa clara,6085
CA,santa cruz,6087
CA,shasta,6089
CA,sierra,6091
CA,siskiyou,6093
CA,solano,6095
CA,sonoma,6097
CA,stanislaus,6099
CA,sutter,6101
CA,tehama,6103
CA,trinity,6105
CA,tulare,6107
CA,tuolumne,6109
CA,ventura,6111
CA,yolo,6113
CA,yuba,6115
CO,adams,8001
CO,arapahoe,8005
CO,boulder,8013
CO,broomfield,8014
CO,clear creek,8019
CO,denver,8031
CO,douglas,8035
CO,eagle,8037
CO,el paso,8041
CO,elbert,8039
CO,fremont,8043
CO,garfield,8045
CO,gilpin,8047
CO,jefferson,8059
CO,la plata,8067
CO,larimer,8069
CO,logan,8075
CO,mesa,8077
CO,morgan,8087
CO,park,8093
CO,pitkin,8097
CO,pueblo,8101
CO,teller,8119
CO,weld,8123
CT,fairfield,9001
CT,hartford,9003
CT,litchfield,9005
CT,middlesex,9007
CT,new haven,9009
CT,new london,9011
CT,tolland,9013
CT,windham,9015
DC,district of columbia,11001
DE,kent,10001
DE,new castle,10003
DE,sussex,10005
FL,alachua,12001
FL,baker,12003
FL,bay,12005
FL,bradford,12007
FL,brevard,12009
FL,broward,12011
FL,calhoun,12013
FL,charlotte,12015
FL,citrus,12017
FL,clay,12019
FL,collier,12021
FL,columbia,12023
FL,de soto,12027
FL,dixie,12029
FL,duval,12031
FL,escambia,12033
FL,flagler,12035
FL,franklin,12037
FL,gadsden,12039
FL,gilchrist,12041
FL,glades,12043
FL,gulf,12045
FL,hamilton,12047
FL,hardee,12049
FL,hendry,12051
FL,hernando,12053
FL,highlands,12055
FL,hillsborough,12057
FL,holmes,12059
FL,indian river,12061
FL,jackson,12063
FL,jefferson,12065
FL,lafayette,12067
FL,lake,12069
FL,lee,12071
FL,leon,12073
FL,levy,12075
FL,liberty,12077
FL,madison,12079
FL,manatee,12081
FL,marion,12083
FL,martin,12085
FL,miami_dade,12086
FL,monroe,12087
FL,nassau,12089
FL,okaloosa,12091
FL,okeechobee,12093
FL,orange,12095
FL,osceola,12097
FL,palm beach,12099
FL,pasco,12101
FL,pinellas,12103
FL,polk,12105
FL,putnam,12107
FL,santa rosa,12113
FL,sarasota,12115
FL,seminole,12117
FL,st johns,12109
FL,st lucie,12111
FL,sumter,12119
FL,suwannee,12121
FL,taylor,12123
FL,volusia,12127
FL,wakulla,12129
FL,walton,12131
FL,washington,12133
GA,barrow,13013
GA,bartow,13015
GA,bibb,13021
GA,bulloch,13031
GA,burke,13033
GA,butts,13035
GA,camden,13039
GA,carroll,13045
GA,catoosa,13047
GA,chattooga,13055
GA,cherokee,13057
GA,clarke,13059
GA,clayton,13063
GA,cobb,13067
GA,columbia,13073
GA,coweta,13077
GA,dade,13083
GA,dawson,13085
GA,de kalb,13089
GA,douglas,13097
GA,fayette,13113
GA,floyd,13115
GA,forsyth,13117
GA,franklin,13119
GA,fulton,13121
GA,glynn,13127
GA,gordon,13129
GA,gwinnett,13135
GA,hall,13139
GA,haralson,13143
GA,hart,13147
GA,heard,13149
GA,henry,13151
GA,houston,13153
GA,jackson,13157
GA,jasper,13159
GA,jones,13169
GA,lamar,13171
GA,lumpkin,13187
GA,meriwether,13199
GA,monroe,13207
GA,murray,13213
GA,newton,13217
GA,oconee,13219
GA,paulding,13223
GA,pickens,13227
GA,pike,13231
GA,polk,13233
GA,putnam,13237
GA,rabun,13241
GA,richmond,13245
GA,rockdale,13247
GA,spalding,13255
GA,stephens,13257
GA,troup,13285
GA,upson,13293
GA,walker,13295
GA,walton,13297
GA,white,13311
GA,whitfield,13313
HI,hawaii,15001
HI,honolulu,15003
HI,kauai,15007
HI,maui,15009
IA,dallas,19049
IA,des moines,19057
IA,dubuque,19061
IA,linn,19113
IA,polk,19153
IA,pottawattamie,19155
IA,woodbury,19193
ID,ada,16001
ID,boise,16015
ID,canyon,16027
IL,champaign,17019
IL,clinton,17027
IL,cook,17031
IL,dekalb,17037
IL,dupage,17043
IL,grundy,17063
IL,kane,17089
IL,kendall,17093
IL,lake,17097
IL,madison,17119
IL,mchenry,17111
IL,monroe,17133
IL,peoria,17143
IL,rock island,17161
IL,st clair,17163
IL,tazewell,17179
IL,will,17197
IL,winnebago,17201
IN,elkhart,18039
IN,hamilton,18057
IN,lake,18089
IN,marion,18097
IN,porter,18127
IN,putnam,18133
IN,tippecanoe,18157
KS,butler,20015
KY,campbell,21037
KY,kenton,21117
LA,ascension,22005
LA,bossier,22015
LA,caddo,22017
LA,east baton rouge,22033
LA,jefferson,22051
LA,livingston,22063
LA,orleans,22071
LA,tangipahoa,22105
MA,barnstable,25001
MA,berkshire,25003
MA,bristol,25005
MA,dukes,25007
MA,essex,25009
MA,franklin,25011
MA,hampden,25013
MA,hampshire,25015
MA,middlesex,25017
MA,nantucket,25019
MA,norfolk,25021
MA,plymouth,25023
MA,suffolk,25025
MA,worcester,25027
MD,allegany,24001
MD,anne arundel,24003
MD,baltimore,24005
MD,baltimore city,24510
MD,calvert,24009
MD,caroline,24011
MD,carroll,24013
MD,cecil,24015
MD,charles,24017
MD,dorchester,24019
MD,frederick,24021
MD,garrett,24023
MD,harford,24025
MD,howard,24027
MD,kent,24029
MD,montgomery,24031
MD,prince george's,24033
MD,queen anne's,24035
MD,somerset,24039
MD,st mary's,24037
MD,talbot,24041
MD,washington,24043
MD,wicomico,24045
MD,worcester,24047
ME,androscoggin,23001
ME,aroostook,23003
ME,cumberland,23005
ME,franklin,23007
ME,hancock,23009
ME,knox,23013
ME,lincoln,23015
ME,oxford,23017
ME,penobscot,23019
ME,piscataquis,23021
ME,sagadahoc,23023
ME,somerset,23025
ME,waldo,23027
ME,washington,23029
ME,york,23031
MI,barry,26015
MI,bay,26017
MI,genesee,26049
MI,ingham,26065
MI,jackson,26075
MI,kent,26081
MI,lapeer,26087
MI,livingston,26093
MI,macomb,26099
MI,monroe,26115
MI,muskegon,26121
MI,oakland,26125
MI,saginaw,26145
MI,st clair,26147
MI,washtenaw,26161
MI,wayne,26163
MN,anoka,27003
MN,carver,27019
MN,clay,27027
MN,dakota,27037
MN,hennepin,27053
MN,isanti,27059
MN,ramsey,27123
MN,scott,27139
MN,sherburne,27141
MN,st louis,27137
MN,washington,27163
MN,wright,27171
MO,bates,29013
MO,boone,29019
MO,christian,29043
MO,clay,29047
MO,franklin,29071
MO,greene,29077
MO,jackson,29095
MO,jefferson,29099
MO,platte,29165
MO,st charles,29183
